summer,winter,name,fall,spring,number,description
 ,[u'Section 01'],Computability and Computational Complexity, , ,CMPS132,"[u'Turing machines, general phase-structure grammars, the Chomsky hierarchy, recursive functions, diagonalization, the Halting problem, computability and unsolvability, computational complexity, time and space bounds, NP-completeness with emphasis on reductions between problems from various areas. Prerequisite(s): course 130. D. Helmbold, P. Kolaitis, A. Van Gelder, M. Warmuth', u'5 Credits']"
 ,[u'Section 01'],Computer Security, , ,CMPS122,"[u'Introduction to computer security (including selected topics in network security). Access control. Security in programming languages. Basic cryptography. Security protocols. Prerequisite(s): course 111 or permission of instructor. Enrollment restricted to School of Engineering majors. Enrollment limited to 100. M. Abadi, E. Miller', u'5 Credits']"
 , ,"Distributed Systems: File Sharing, Online Gaming, and More", ,[u'Section 01'],CMPS128,"[u'Covers topics in distributed computing including communication, naming, synchronization, consistency and replication, fault tolerance, and security. Examples drawn from peer-to-peer systems, online gaming, the World Wide Web; other systems also used to illustrate approaches to these topics. Students implement simple distributed systems over the course of the quarter. Prerequisite(s): course 101 or Computer Engineering 150. Course 111 or 105 recommended. S. Brandt, D. Long, E. Miller', u'5 Credits']"
 ,[u'Section 01'],Mobile Applications, , ,CMPS121,"[u'Introduces programming and application development for mobile devices. Covers the SDK and main programming platforms available on mobile devices, methodologies for developing native applications, division of computation between the mobile platform and servers, and mobile-to-server communications. Introduces platforms based on JavaScript and HTML5 for the development of applications that are portable across platforms. Students develop components of applications, leading to fully functional applications by the end of the course. Course based on emulators and SDK tools, so ownership of a cellphone/tablet is not required for the course. Pre-requisite(s):  Computer Science 12B and 12M.  L. de Alfaro, J. Whitehead', u'5 Credits']"
 ,[u'Section 01'],Data Storage Systems, , ,CMPS129,"[u'Covers all aspects of storage systems technology from magnetic media up through system software, including principles of magnetic recording, hard drive technology and evolution, performance measurement, file systems, storage networking, disk arrays, network-attached storage, and alternative storage technologies. Prerequisite(s): course 101, 111, and Physics 5A or 6A. S. Brandt, D. Long, E. Miller', u'5 Credits']"
 ,[u'Section 01'],Software Design Project, , ,CMPS116,"[u'Students in teams specify, design, construct, test, and document a complete software system in a specialized application domain. Class time is spent in technical discussions and ongoing design reviews. A formal presentation and demonstration of each project is required. An organizational meeting will be held during the preceding quarter. Projects may be drawn from industry and campus research groups. Prerequisite(s): course 115. L. De Alfaro, J. Whitehead', u'5 Credits']"
 , ,Software for Society, ,[u'Section 01'],CMPS119,"[u'Provides experience with applying computing to social issues. Case studies on multiple issues. For example: privacy, copyright, voting, education, poverty, energy, activism. Team project in which students develop software to address a pre-identified need of a global or local non-profit. Pre-requisite (s):  Computer Science 101. General Education Code(s):  Perspectives:  PE-T technology and society.   J. Davis', u'5 Credits']"
 , ,Software Design Project II, ,[u'Section 01'],CMPS117,"[u'Continuation of course 116. Students work in teams to develop, test, document, and deploy a substantial software project. Teams give a formal presentation and demonstration of each project. Pre-requisite(s): course 116.  L. de Alfaro, E. Whitehead, L. Werner', u'5 Credits']"
 , ,Software Methodology,[u'Section 01'], ,CMPS115,"[u'Emphasizes the characteristics of well-engineered software systems. Topics include requirements analysis and specification, design, programming, verification and validation, maintenance, and project management. Practical and research methods are studied. Imparts an understanding of the steps used to effectively develop computer software. Prerequisite(s): course 101. Enrollment restricted to computer science, computer engineering, and information systems management majors. Enrollment limited to 25. C. Flanagan, L. Werner, J. Whitehead', u'5 Credits']"
 ,[u'Section 01'],Comparative Programming Languages, , ,CMPS112,"[u'Covers several programming languages and compares styles, philosophy, and design principles. Principles underlying declarative, functional, and object-oriented programming styles are studied. Students write programs emphasizing each of these techniques. Prerequisite(s): course 101 or 109. M. Abadi, C. Flanagan, D. Long, C. McDowell, W. Tan, A. Van Gelder', u'5 Credits']"
 ,[u'Section 01'],Systems Programming, , ,CMPS105,"[u'Covers fundamentals of systems programming including standard tools, shell programming, file I/O, files and directories, system data files and information, Unix processes, process control, synchronization, signals, event-driven programming, terminal I/O, daemons, interprocess communication, basic network programming, and basic user-interface programming. Prerequisite(s): course 101 and Computer Engineering 12 and 12L. Enrollment restricted to School of Engineering majors. S. Brandt, D. Long, E. Miller', u'5 Credits']"
 , ,Fundamentals of Compiler Design II, ,[u'Section 01'],CMPS104B,"[u'Advanced study of compiler implementation. Topics include compiler structure back end, run-time environments, storage management, garbage collection, register allocation, code generation, basic blocks, control flow, data flow, local and global optimization, interpretation, and machine-code generation. Students may not receive credit for this course and course 204. Taught in conjunction with course 204. Prerequisite(s): course 104A. W. Mackey', u'5 Credits']"
 , ,Introduction to Operating Systems, ,[u'Section 01'],CMPS111,"[u'Fundamental principles of operating systems: process synchronization, deadlocks, memory management, resource allocation, scheduling, storage systems, and study of several operating systems. A major programming project will be required. Prerequisite(s): course 101 and Computer Engineering 110 or Computer Engineering 112. S. Brandt, D. Long, E. Miller, W. Mackey', u'5 Credits']"
 ,[u'Section 01'],Advanced Programming, ,[u'Section 01'],CMPS109,"[u'An introduction to object-oriented techniques of software development including data abstraction, inheritance, polymorphism, and object-oriented design. Extensive practice using a computer to solve problems, including construction of graphical user interfaces and a multithreaded client/server applications. Prerequisite(s): course 12B/M or 13H. W. Mackey, C. McDowell, I. Pohl', u'5 Credits']"
 , ,Fundamentals of Compiler Design I,[u'Section 01'], ,CMPS104A,"[u'An introduction to the basic techniques used in compiler design. Topics include compiler structure, symbol tables, regular expressions and languages, finite automata, lexical analysis, context-free languages, LL(1), recursive descent, LALR(1), and LR(1) parsing; and attribute grammars as a model of syntax-directed translation. Students use compiler building tools to construct a working compiler. Prerequisite(s): course 101 and Computer Engineering 12 and 12L. W. Mackey', u'5 Credits']"
 , ,Introduction to Analysis of Algorithms, ,[u'Section 01'],CMPS102,"[u'Methods for the systematic construction and mathematical analysis of algorithms. Order notation, the RAM model of computation, lower bounds, and recurrence relations are covered. The algorithm design techniques include divide-and-conquer, branch and bound, and dynamic programming. Applications to combinatorial, graph, string, and geometric algorithms. Prerequisite(s): course 101. D. Achlioptas, D. Helmbold, S. Lodha, A. Van Gelder, M. Warmuth', u'5 Credits']"
 , ,Tutorial, , ,CMPS99F,"[u'Students submit petition to sponsoring agency. May be repeated for credit. The Staff', u'2 Credits']"
 , ,Tutorial, , ,CMPS99,"[u'Students submit petition to sponsoring agency. May be repeated for credit. The Staff', u'5 Credits']"
 ,[u'Section 01'],Algorithms and Abstract Data Types,[u'Section 01'],[u'Section 01'],CMPS101,"[u'Studies basic algorithms and their relationships to common abstract data types. Covers the notions of abstract data types and the distinction between an abstract data type and an implementation of that data type. The complexity analysis of common algorithms using asymptotic (big ""O"") notation is emphasized. Topics include sorting and searching techniques, basic graph algorithms, and algorithm design techniques. Abstract data types covered include priority queues, dictionaries, disjoint sets, heaps, balanced trees, and hashing. Familiarity with C, Java, and Unix is assumed. Prerequisite(s): course 12B or 13H, Computer Engineering 16 or 16H, Mathematics 19B, and one course from the following: Mathematics 21, 22, 23A, 24, or Applied Mathematics and Statistics 27.  D. Helmbold, P. Tantalo, A. Van Gelder', u'5 Credits']"
 , ,Group Tutorial, , ,CMPS94F,"[u'Provides a means for a small group of students to study a particular topic in consultation with a faculty sponsor. Students submit petition to sponsoring agency. May be repeated for credit. The Staff', u'2 Credits']"
 , ,Creating Virtual Worlds on the Web,[u'Section 01'], ,CMPS80V,"[u'Project-oriented course about creating and publishing interactive 3D content on the web. Focuses on the creation of static and dynamic objects, such as characters, terrain, accessories, and works of art. Also covers inclusion of animation and sound effects with these objects. The objects created can be used in a stand-alone setting (e.g., a 3D document) or incorporated into existing virtual worlds (e.g., as part of a level design in a computer game or assets in massively multiplayer online games). Uses 3D authoring tools (pending availability of resources) like VRML, Second Life, Alice, and/or Acrobat 3D. (Formerly ""VRML 3D Worlds on the Web.) (General Education Code(s): T2-Natural Sciences, PR-C - Creative Process) A. Pang', u'5 Credits']"
 ,[u'Section 01'],From Software Innovation to Social Entrepreneurship, , ,CMPS80S,"[u'Emerging software innovations with emphasis on social software. Web 2.0 companies and services. Software that has social impact in a global context. Entrepreneurial plan including social, economic, and innovation value. Final group project on innovative software design and entrepreneurship plan. (General Education Code(s): PE-T - Technology and Society, T7 - Natural Sciences or Social Sciences) S. Lodha', u'5 Credits']"
 , ,Group Tutorial, , ,CMPS94,"[u'Provides a means for a small group of students to study a particular topic in consultation with a faculty sponsor. Students submit petition to sponsoring agency. May be repeated for credit. The Staff', u'5 Credits']"
 , ,Foundations of Interactive Game Design, ,[u'Section 01'],CMPS80K,"[u'Surveys history, technology, narrative, ethics, and design of interactive computer games. Work in teams to develop novel game-design storyboards. Intended as a generally accessible undergraduate course in which students can explore the interplay of narrative, graphics, rule systems, and artificial intelligence in the creation of interactive games. Programming experience not required.  Enrollment limited to 150. (General Education Code(s): T2-Natural Sciences, IM - Interpreting Arts and Media) N. Wardrip-Fruin, J. Whitehead', u'5 Credits']"
 , ,Beginning Programming: Natural Sciences, ,[u'Section 01'],CMPS60N,[]
 , ,Introduction to Unix, ,[u'Section 01'],CMPS80G,"[u'Introduction to computing, the Internet, and the World Wide Web through the language of the Unix operating system. Oriented to the beginner, the course presupposes no previous acquaintance with any particular sort of computer. It covers the basic concepts of text editing and formatting, writing Web pages in basic HTML, and promotes a rigorous understanding of Unix commands and shell scripts. Views communication with a computer as a matter of learning a few simple though powerful languages.  (General Education Code(s): T2-Natural Sciences.) A. Van Gelder', u'5 Credits']"
 , ,Systems and Simulation,[u'Section 01'], ,CMPS80B,"[u'An introduction to systems analysis as an approach to understanding and solving complex problems. The use of simulation as an aid in this problem solving. Examples are taken from ecology, economics, physics, computer science, and other fields. Intended as a generally accessible undergraduate course in which students can develop and explore computer simulation models matched to their individual interests. (General Education Code(s): T2-Natural Sciences, Q.) R. Levinson', u'5 Credits']"
 , ,Technology Targeted at Social Issues,[u'Section 01'], ,CMPS80J,"[u'Introduces the idea that engineering can be a means for addressing social issues. Case studies and guest speakers. Issues might include: economic development, privacy, activism, safe drinking water, inexpensive shelters, sustainable energy, education, and waste disposal. (General Education Code(s): PE-T - Technology and Society, T7 - Natural Sciences or Social Sciences.) J. Davis, S. Lodha', u'5 Credits']"
 ,[u'Section 01'],Beginning Programming: Social Sciences and Humanities,[u'Section 01'], ,CMPS60G,[]
 , ,Introduction to Computer Graphics:  3D Animation, ,[u'Section 01'],CMPS26,"[u'Introduces theories and techniques of 3D computer animation. Topics include: character animation; rigging; simulation of cloth, liquids, and fire; motion capture; rendering; and editing animated scenes. Students develop proficiency in 3D animation via lectures and assignments focused on the use of a 3D animation tool and use of motion-capture software.  Pre-requisite(s):  course 25.  General Education Code(s):  Practice:  PR-C creative process.  C. Yonge', u'5 Credits']"
 ,[u'Section 01'],Social Networks, , ,CMPS80C,[]
 , ,Scientific Computation with Matlab and Maple, ,[u'Section 01'],CMPS60M,"[u'Basic concepts from calculus visualized using Matlab and Maple; plotting data and functions, integration, differentiation, limits; solving systems of equation; linear regression; and example applications from science and engineering. Prerequisite(s): Mathematics 19B, or 20B, or by consent of instructor. Enrollment limited to 60. M. Warmuth', u'5 Credits']"
 , ,Introduction to Programming and Data Structures Laboratory, , ,CMPS13L,"[u'Provides accelerated introduction to practical aspects of programming and data structures. Covers three areas: 1) common programming tools, including Unix commands, compilers and linkers, editors, debuggers, and Makefiles; 2) basic programming techniques, including design, testing, and debugging; and 3) C programming, focusing on the major differences between C and Java. Previous or concurrent enrollment in course 13H required. Prerequisite(s): interview only; students must have completed a high school or college level programming course in Java, C, or C++. A short oral examination given to ascertain programming level. S. Brandt, D. Long', u'2 Credits']"
 ,[u'Section 01'],Social Networks, ,[u'Section 01'],CMPS17,"[u'Introduction to social networks and game theory. Topics include the structure of social networks; the world wide web; the flow of information and behavior through networks; and the principles behind modern web search and search-ad placement. General Education Code:  SR statistical reasoning.  Prerequisite(s):  any of the following: Mathematics 3, 11A, Applied Mathematics and Statistics 2, 3, 11A, 15A, Economics 11A or mathematics placement exam score of 31 or higher.  B. Ten Cate', u'5 Credits']"
 , ,Introduction to Programming and Data Structures (Honors),[u'Section 01'], ,CMPS13H,"[u'Provides an accelerated introduction to programming and data structures. Includes a review of basic programming, including loop and conditional control structures, procedures and parameter passing, and arrays. Course goes on to cover same material as course 12B. Students cannot receive credit for this course and course 12A or 12B. Prerequisite(s): interview only; students must have completed a high school or college level programming course in Java, C, or C++. A short oral examination given to ascertain programming level. Concurrent enrollment in course 13L required. Enrollment limited to 25. (General Education Code(s): IN.) S. Brandt, D. Long', u'5 Credits']"
 ,[u'Section 01'],Game Design Experience, , ,CMPS20,"[u'Introduction to computer game development.  Topics covered include animating sprites, use of game development frameworks, collision detection, game audio, scrolling game worlds, basic artificial intelligence for games, basic 3D graphics.  Also covers basic object-oriented design, and software design patterns. Course 80K recommended. Prerequisite(s): Course 12B. Gen Ed. Code(s): IN, PR-E - Collaborative Endeavor).  A. Jhala, M. Mateas, J. Whitehead.', u'5 Credits']"
 ,[u'Section 01'],Introduction to Computer Graphics: 3D Modeling,[u'Section 01'], ,CMPS25,"[u'Introduces theory and techniques of 3D computer graphics. Topics include: capabilities of modern graphics hardware; 3D coordinate spaces; modeling with polygons; NURBS and subdivision surfaces; applying textures and materials; lighting; and simple effects. Students develop proficiency in 3D modeling via lectures and assignments focused on the use of a 3D modeling tool. Gen Ed Code(s): PR-C creative process. J. Whitehead', u'5 Credits']"
 ,[u'Section 01'],Introduction to Data Structures,[u'Section 01'],[u'Section 01'],CMPS12B,"[u'Teaches students to implement common data structures and the algorithms associated with each data structure, through progressively difficult exercises. Topics include big ""O"" notation; pointers, recursion (induction), and dynamic allocation; linked lists and list processing; stacks, queues, binary trees and binary search trees; simple sorting techniques and simple search techniques. Students will gain a working knowledge of the elements of the Java and C programming languages. Prior experience with Unix is assumed. Prerequisite(s): course 11 or 12A or Computer Engineering 13. Concurrent enrollment in course 12M required. Enrollment limited to 150. (General Education Code(s): IN, MF - Mathematical and Formal Reasoning) W. Mackey', u'5 Credits']"
 ,[u'Section 01'],Data Structures Laboratory,[u'Section 01'],[u'Section 01'],CMPS12M,"[u'Complements course 12B, gaining additional competence with a number of important software development tools, languages, and techniques. Included are advanced Unix features and utilities such as grep, find, diff, the shell, and pipes; C programs utilizing I/O, arrays, pointers, and structures; a scripting language to perform simple text and file manipulation; and the make utility. Prerequisite(s): Concurrent enrollment in course 12B required. W. Mackey', u'2 Credits']"
 ,[u'Section 01'],Computer Programming Laboratory,[u'Section 01'], ,CMPS12L,"[u'Laboratory sequence complementing topics taught in course 12A by providing training and exposure to several software development tools and practices not covered in course 12A. In addition, the lab provides an initial exposure to a second programming language to reinforce concepts from course 12A. Prerequisite(s): Concurrent enrollment in 12A required. The Staff, C. Flanagan, C. McDowell', u'2 Credits']"
 ,[u'Section 01'],Introduction to Computer Science,[u'Section 01'],[u'Section 01'],CMPS10,"[u'An overview of the theory, foundations, and practice of computer science with emphasis on what computers can and cannot do, now and in the future. Topics include algorithms and data, correctness and efficiency of algorithms, hardware, programming languages, limitations of computation, applications, and social issues. No programming skills are required as a prerequisite. Major concepts and open problems in computer science are presented without reliance on sophisticated mathematical tools. (General Education Code(s): IN, MF - Mathematical and Formal Reasoning) S. Lodha, P. Tantalo', u'5 Credits']"
 , ,Intermediate Programming, ,[u'Section 01'],CMPS11,"[u'Continuation of course 5J. Covers basic object-oriented programming; event-driven programming; graphical user interface (GUI) creation; recursion; two-dimensional arrays; and introduces programming in C and Java. The two-quarter sequence courses 5J and 11 cover in two quarters the same material as the accelerated introductory course and lab 12 A/L cover in one quarter. Students cannot receive credit this course and course 12A. Prerequisite(s): course 5J and Mathematics 3 or 11A or 19A or Applied Mathematics and Statistics 3 or 11A or Economics 11A or a score of 40 or higher on the mathematics placement exam.(General Education Code(s): MF - Mathematical and Formal Reasoning) C. McDowell', u'5 Credits']"
 ,[u'Section 01'],Introduction to Programming in Java,[u'Section 01'], ,CMPS5J,"[u'Introduces programming in Java for students who have no prior programming experience. Students learn programming and documentation skills, as well as algorithmic problem-solving, and programming methodologies. Introduces computers, compilers, and editors. Students write small to medium-sized programs. This course and courses 5C and 5P cover similar concepts, but use different programming languages. Because 5J followed by course 11 is a two-quarter alternative to the accelerated course 12A/L, engineering majors and students planning on continuing the programming sequence are encouraged to take 5J rather than 5C or 5P. Students may not receive credit for 5J taken concurrently or subsequently to course 12A.  (Formerly course 60G.) (General Education Code(s): MF - Mathematical and Formal Reasoning)', u'5 Credits']"
 , ,Introduction to Programming in Python, ,[u'Section 01'],CMPS5P,"[u'Introduces programming in Python, a high-level programming language used in the physical and social sciences and for Internet scripting. Students learn programming and documentation skills, as well as algorithmic problem-solving, coding, and debugging methodologies.  Students write programs to solve sample problems drawn from a wide range of disciplines, primarily in the sciences. No prior programming experience is required, but a mathematics background at the pre-calculus level is assumed. This course and courses 5C and 5J cover similar concepts, but use different programming languages.(General Education Code(s): IN, MF - Mathematical and Formal Reasoning) D. Long, E. Miller', u'5 Credits']"
 , ,Thesis Research, , ,CMPE299F,"[u'Independent study or research under faculty supervision.  Enrollment restricted to graduate students.  Recommended for part-time students.  Students submit petition to sponsoring agency.  May be repeated for credit.  The Staff', u'2 Credits']"
 ,[u'Section 01'],Introduction to Programming in C/C++,[u'Section 01'], ,CMPS5C,"[u'Students learn programming and documentation skills as well as algorithmic problem-solving and programming methodologies. Introduces computers, compilers, and editors. Students write small to medium-sized programs. No prior programming experience required, but a mathematics background at the pre-calculus level is assumed. This course and courses 5J and 5P cover similar concepts, but use different programming languages. This course is recommended for students that have a specific desire or need to learn C/C++; others are encouraged to consider taking course 5P or 5J which use languages that provide a gentler introduction to programming.(Formerly course 60N.) (General Education Code(s): IN, MF - Mathematical and Formal Reasoning) S. Brandt, C. McDowell', u'5 Credits']"
 , ,Computer Literacy, ,[u'Section 01'],CMPS2,"[u'Introduction to how computers work and how to use them. Topics covered include network information systems, text editors, formatting, file and directory system, spreadsheets and databases. Computers as symbol manipulation devices. Introduction to programming concepts and computer languages. Impact of computers on society. Designed for students with little or no experience using computers. Preference is given to students who have not taken other computer engineering or computer science courses. Students cannot receive credit for this course and Computer Engineering 3. (General Education Code(s): IN, PE-T - Technology and Society) P. Franca', u'5 Credits']"
 ,[u'Section 01'],Introduction to Programming (Accelerated),[u'Section 01'], ,CMPS12A,"[u'Accelerated introduction to programming. Students write medium-sized programs. Topics include: functions; conditionals and loops; classes; event-driven programming and graphic user interfaces (GUIs); recursion; and arrays. Students who have no or very limited programming experience should consider courses 5J and 11 which cover the same material in two quarters. Students may not receive credit for both this course and course 11. Some prior programming experience in a language such as C, C++, Java, or C# strongly recommended. Prerequisite(s): Mathematics 3 or 11A or 19A or Applied Mathematics and Statistics 3 or 11A or Economics 11A or a score of 40 or higher on the mathematics placement exam. Concurrent enrollment in 12L required. (General Education Code(s): IN.) The Staff, C. Flanagan, C. McDowell', u'5 Credits']"
 , ,Thesis Research, , ,CMPE299,"[u'Thesis research conducted under faculty supervision. Students submit petition to sponsoring agency. The Staff', u'5 Credits']"
 , ,Advanced Topics in Computer Engineering, ,[u'Section 01'],CMPE293,"[u'A graduate seminar on a research topic in computer engineering which varies according to instructor. Possible topics include, but are not limited to, communication networks, data compression, special-purpose architectures, computer arithmetic, software reliability and reusability, systolic arrays.  J. Rosen', u'5 Credits']"
 , ,Independent Study or Research, , ,CMPE297,"[u'Independent study or research under faculty supervision. Students submit petition to sponsoring agency. The Staff', u'5 Credits']"
 , ,Advanced Topics in Visual Computing, ,[u'Section 01'],CMPE290V,"[u'Advanced course in image analysis and computer vision. Topics include motion analysis, multiple view geometry, 3D reconstruction, image-based rendering, vision-based graphics, face detection and recognition, tracking, image and video retrieval, and human-computer interface. Enrollment restricted to seniors and graduate students. Enrollment limited to 20. H. Tao, S. Lodha', u'5 Credits']"
 , ,Advanced Topics in VLSI Computer-Aided Design, ,[u'Section 01'],CMPE290L,"[u'A graduate course on a research topic in VLSI computer-aided design. Topic varies according to instructor. Possible topics include, but are not limited to specification languages and formal verification, logic minimization, testing and verification, electrical simulation, layout synthesis, and behavioral synthesis. Course 100, 125, 126, 222, or 225 recommended. Offered in alternate academic years. P. Chan, T. Larrabee, F. Ferguson, M. Schlag', u'5 Credits']"
 , ,Topics in Parallel Computation,[u'Section 01'], ,CMPE290M,"[u'Investigates selected topics in applied parallel computation. Topics may include numerical methods, artificial intelligence and machine learning algorithms, graphics and image processing, systolic algorithms, and the interplay between hardware and algorithms. Students are encouraged to investigate and discuss the parallelization of their own research. Enrollment restricted to graduate students. R. Hughey', u'5 Credits']"
 , ,Topics in Computer Performance, ,[u'Section 01'],CMPE290N,"[u'Selected topics of current interest in the area of computer system performance. Subjects may include aspects of large systems, performability, computer networks, storage subsystems, and nontraditional approaches and are subject to periodic revision. Enrollment restricted to graduate students. Offered in alternate academic years. A. Brandwajn', u'5 Credits']"
 , ,Technical Writing for Engineering Graduates, ,[u'Section 01'],CMPE285,"[u'Writing skills development for graduate engineers. Students produce a major writing project with many subtasks. Exercises includes fellowship application; mathematical and algorithmic description; use of tables and graphs; experiment description; and producing technical web sites, presentations, and posters. Enrollment restricted to graduate biomolecular engineering, computer engineering, computer science, and electrical engineering majors. (Open to all School of Engineering graduate students.) Enrollment limited to 20. T. Larrabee, The Staff', u'5 Credits']"
 , ,Seminar on New Technologies, , ,CMPE280T,"[u'Weekly seminar series in which distinguished speakers from industry, universities, and government discuss current developments in networking and computer technology. The emphasis is on open research questions that may lead to collaborative work with faculty and graduate students. The Staff', u'2 Credits']"
 ,[u'Section 01'],Seminar on Parallel Processing,[u'Section 01'],[u'Section 01'],CMPE280P,"[u'Weekly seminar series covering topics of current research in parallel systems, architectures, and algorithms. Current research work and literature in these areas are discussed. Enrollment restricted to graduate students. Enrollment limited to 20. May be repeated for credit. R. Hughey, J. Renau, M. Guthaus', u'2 Credits']"
 ,[u'Section 01'],Seminar on Networks,[u'Section 01'],[u'Section 01'],CMPE280N,"[u'Weekly seminar series covering topics of current research in networks and networked systems. Current research work and literature in these areas are discussed. Prerequisite(s): permission of instructor. Enrollment restricted to graduate students. May be repeated for credit. J. Garcia-Luna-Aceves, K. Obraczka', u'2 Credits']"
 ,[u'Section 01'],Seminar on Computer Vision,[u'Section 01'],[u'Section 01'],CMPE280V,"[u'Weekly graduate-level seminar series discussing advanced topics in computer vision and image analysis. Current research and literature presented during each meeting. Enrollment limited to 20. May be repeated for credit. H. Tao, R. Manduchi', u'2 Credits']"
 ,[u'Section 01'],VLSI/CAD Seminar,[u'Section 01'],[u'Section 01'],CMPE280G,"[u'Weekly seminar on advanced topics in VLSI and computer-aided design (CAD). Students present and discuss modern issues in semiconductor design, fabrication, and CAD. Frequent guest speakers present pertinent results from industry and academia. Enrollment limited to 20.  May be repeated for credit.  M. Guthaus', u'2 Credits']"
 ,[u'Section 01'],Seminar on Bioinformatics,[u'Section 01'],[u'Section 01'],CMPE280B,[u'5 Credits']
 , ,Introduction to the Theory of Discrete Systems,[u'Section 01'], ,CMPE278,[]
 , ,Graph Algorithms, ,[u'Section 01'],CMPE277,"[u'Explores graph theory and algorithms for solving problems in engineering. A review of basic graph concepts and algorithms is followed by topics in network flow, partitioning, spectral analysis of graphs, graph isomorphism, and intractability. Prerequisite(s): Computer Science 101 and 102; or course 177; or Computer Science 201; or equivalent. Enrollment restricted to graduate students. Enrollment limited to 20. M. Schlag', u'5 Credits']"
 ,"[u'Section 02', u'Section 01']",Seminar on Control,"[u'Section 01', u'Section 02']","[u'Section 01', u'Section 02']",CMPE280C,"[u'Weekly seminar series covering topics of current research in theory and application of control to engineering systems. Current research work and literature in these areas discussed. Enrollment restricted to graduate students; undergraduates may enroll with permission of instructor. May be repeated for credit. G. Elkaim, K. Ross, W. Dunbar, J. Rosen', u'2 Credits']"
 , ,Sensor Networks,[u'Section 01'], ,CMPE259,"[u'Focus is on the networking aspects of sensor networks: protocols at the various layers and how they answer the specific requirements posed by these networks (e.g., data driven, energy efficient, etc.) and their applications (monitoring, tracking, etc.). Explore how physical layer and hardware issues may influence protocol design. Courses 252A and 257 recommended. K. Obraczka', u'5 Credits']"
 ,[u'Section 01'],Data Compression, , ,CMPE263,"[u'Introduction to information theory and data compression. Lossless coding (Huffman, arithmetic, dictionary codes). Lossy coding (scalar and vector quantization, differential coding, transform coding). Applications to the compression of real data sets (DNA sequences, biological time series, multimedia streams). Concurrent lectures with course 108. Students cannot receive credit for both this course and course 108. Students must have basic knowledge of probability theory. Enrollment restricted to graduate students. R. Manduchi', u'5 Credits']"
 , ,Software Engineering,[u'Section 01'], ,CMPE276,"[u'Introduction to the general principles of software engineering. Covers current and classical topics from both practical and theoretical viewpoints. Topics include software evolution, project management, software inspections, design methods, requirements analysis and specification, software testing, maintenance, software implementation, human interfaces, and software engineering experimentation. Enrollment restricted to graduate students; undergraduates may enroll in this course if they have completed Computer Science 115. L. De Alfaro, The Staff', u'5 Credits']"
 ,[u'Section 01'],Image Analysis and Computer Vision, , ,CMPE264,"[u'Brief review of image processing. Binary images, thresholding, morphological operations; edge detection and segmentation; contours: digital curves and curve fitting; statistical texture analysis, shape from texture; depth cues, stereo matching, depth from stereo; color perception and segmentation; and shading and image radiance, surface orientation, and shape from shading. Electrical Engineering 264 encouraged, but not required. Undergraduate students who are interested in enrolling should meet with the instructor first. H. Tao', u'5 Credits']"
 , ,Unix Networking Internals,[u'Section 01'], ,CMPE258,"[u'In-depth treatment of the implementation of network protocols in typical open-source Unix systems. Topics include implementation of send and receive functions, buffer management, interrupt handling, locking, scheduling and timer management. Major implementation project required. Prerequisite(s): course 252A. Computer Science 111 recommended. Enrollment restricted to graduate students. A. Varma', u'5 Credits']"
 , ,Wireless and Mobile Networks, ,[u'Section 01'],CMPE257,"[u'An interdisciplinary course on wireless communication and mobile computing. Covers the physical aspects of wireless communication but emphasizes higher protocol layers. Topics include cellular networks, packet radio and ad hoc networks, wireless transport protocols, security, and application-level issues. Prerequisite(s): course 252A or permission of instructor. Enrollment limited to 20. J. Garcia-Luna-Aceves, K. Obraczka', u'5 Credits']"
 , ,High Speed Computer Networks, ,[u'Section 01'],CMPE254,"[u'Fiber-optic technology; fiber-optic link design; network protocol concepts; coding and error control; high-speed local area and metropolitan area networks; gigabit networks; error and congestion control; photonic networks; research topics. Prerequisite(s): course 252B. Offered in alternate academic years. A. Varma', u'5 Credits']"
 , ,Design Project in Computer Networks, ,[u'Section 01'],CMPE256,"[u'Students develop a working implementation of a network protocol with the goal of obtaining hands-on experience in implementing real-world network protocols. Prerequisite(s): course 252A; enrollment restricted to graduate students. A. Varma', u'5 Credits']"
 , ,Principles of Computer Communication, , ,CMPE252B,"[u'Theory and practice of computer communication networks. Emphasis is on verification and performance analysis of network control processes. Topics include protocols for channel access, point-to-point and multipoint reliable transmission, routing, congestion control, network management, multicasting, and ATM networks. Prerequisite(s): courses 107 and 252A. J. Garcia-Luna-Aceves, A. Varma', u'5 Credits']"
 , ,Network Security, ,[u'Section 01'],CMPE253,"[u'Fundamental mechanisms for network security and their application in widely deployed protocols. In-depth treatment of security mechanism at the data-link, network, and transport layers for both wired and wireless networks. Covers mechanisms for privacy and integrity, and methods for intrusion detection. Prerequisite(s): course 252A and Computer Science 201. Enrollment restricted to graduate students. A. Varma', u'5 Credits']"
 , ,Error-Control Coding,[u'Section 01'], ,CMPE251,"[u'Overview of coding to protect messages against error during transmission or storage. Topics include channel models, linear algebra over finite fields, linear block codes and bounds, cyclic codes (BCH and RS), decoding algorithms, spectral analysis, codes on graphs, and low-complexity algorithms. Enrollment restricted to graduate students or consent of instructor. H. Sadjadpour', u'5 Credits']"
